Well,Fluor,reaction_type,sample_ID,Sample,Starting Quantity for Std,qPCRwell_label,cpD1,cpD2
B21,HEX,all_products,Std-05,gblock+IRE_plus18IRE,0.5,B21,27.62,22.76
B22,HEX,all_products,Std-06,gblock_minusIRE_onlyExonnoIRE,0.5,B22,26.29,21.46
B23,HEX,all_products,Std-06,gblock_minusIRE_onlyExonnoIRE,0.5,B23,26.2,21.3
B24,HEX,all_products,Std-06,gblock_minusIRE_onlyExonnoIRE,0.5,B24,26.48,21.45
C01,HEX,Test1,Unkn,10_B_66,NaN,C1,35.56,32.76
C02,HEX,Test1,Unkn,30_B_186,NaN,C2,37.28,34.84
C03,HEX,Test1,Unkn,46_B_282,NaN,C3,32.64,28.88
C04,HEX,Test1,Unkn,233_B_1654,NaN,C4,34.01,30.7
C05,HEX,Test1,Unkn,162_B_942,NaN,C5,31.87,27.99
C06,HEX,Test1,Unkn,170_B_990,NaN,C6,32.35,28.58
C07,HEX,Test1,Unkn,206_B_1330,NaN,C7,33.11,29.54
C08,HEX,Test1,Unkn,212_B_1402,NaN,C8,33.79,30.47
C09,HEX,Test1,Unkn,231_B_1630,NaN,C9,35.66,32.77
C10,HEX,Test1,Unkn,243_B_1794,NaN,C10,35.56,32.53
C11,HEX,Test1,Unkn,221_B_1510,NaN,C11,33.82,30.35
C12,HEX,Test1,Unkn,248_B_1834,NaN,C12,34.67,31.49
C16,HEX,Test1,Std-07,gblock+IRE_plus18IRE,50,C16,19.07,14.07
C17,HEX,Test1,Std-07,gblock+IRE_plus18IRE,50,C17,19.19,14.14
C18,HEX,Test1,Std-07,gblock+IRE_plus18IRE,50,C18,19.11,14.04
C19,HEX,all_products,Std-08,gblock+IRE_plus18IRE,50,C19,20.45,15
C20,HEX,all_products,Std-08,gblock+IRE_plus18IRE,50,C20,20.5,15
C21,HEX,all_products,Std-08,gblock+IRE_plus18IRE,50,C21,20.37,14.75
C22,HEX,all_products,Std-09,gblock_minusIRE_onlyExonnoIRE,50,C22,19.52,13.7
C23,HEX,all_products,Std-09,gblock_minusIRE_onlyExonnoIRE,50,C23,19.49,13.86
C24,HEX,all_products,Std-09,gblock_minusIRE_onlyExonnoIRE,50,C24,19.41,13.7
D01,HEX,all_products,Unkn,10_B_66,NaN,D1,40,1.98
D02,HEX,all_products,Unkn,30_B_186,NaN,D2,40,1
D03,HEX,all_products,Unkn,46_B_282,NaN,D3,40,37.63
D04,HEX,all_products,Unkn,233_B_1654,NaN,D4,38.43,36.82
D05,HEX,all_products,Unkn,162_B_942,NaN,D5,38.42,36.15
D06,HEX,all_products,Unkn,170_B_990,NaN,D6,39.08,36.93
D07,HEX,all_products,Unkn,206_B_1330,NaN,D7,40,37.46
D08,HEX,all_products,Unkn,212_B_1402,NaN,D8,40,40
D09,HEX,all_products,Unkn,231_B_1630,NaN,D9,40,1
D10,HEX,all_products,Unkn,243_B_1794,NaN,D10,40,1
D11,HEX,all_products,Unkn,221_B_1510,NaN,D11,40,37.7
D12,HEX,all_products,Unkn,248_B_1834,NaN,D12,40,1
D16,HEX,Test1,Std-10,gblock+IRE_plus18IRE,0.1,D16,28.46,23.95
D17,HEX,Test1,Std-10,gblock+IRE_plus18IRE,0.1,D17,28.28,23.83
D18,HEX,Test1,Std-10,gblock+IRE_plus18IRE,0.1,D18,28.42,23.97
D19,HEX,all_products,Std-11,gblock+IRE_plus18IRE,0.1,D19,29.95,25.52
D20,HEX,all_products,Std-11,gblock+IRE_plus18IRE,0.1,D20,30.12,25.61
D21,HEX,all_products,Std-11,gblock+IRE_plus18IRE,0.1,D21,30,25.55
D22,HEX,all_products,Std-12,gblock_minusIRE_onlyExonnoIRE,0.1,D22,28.66,24.11
D23,HEX,all_products,Std-12,gblock_minusIRE_onlyExonnoIRE,0.1,D23,28.59,23.97
D24,HEX,all_products,Std-12,gblock_minusIRE_onlyExonnoIRE,0.1,D24,28.74,24.08
E01,HEX,Test1,Unkn,10_C_67,NaN,E1,32.41,28.74
E02,HEX,Test1,Unkn,30_C_187,NaN,E2,32.44,28.71
E03,HEX,Test1,Unkn,46_C_283,NaN,E3,32.98,29.42
E04,HEX,Test1,Unkn,233_C_1655,NaN,E4,34.81,31.6
E05,HEX,Test1,Unkn,162_C_943,NaN,E5,31.88,27.94
E06,HEX,Test1,Unkn,170_C_991,NaN,E6,32.53,28.75
E07,HEX,Test1,Unkn,206_C_1331,NaN,E7,35.23,32.1
E08,HEX,Test1,Unkn,212_C_1403,NaN,E8,33.71,30.26
E09,HEX,Test1,Unkn,231_C_1631,NaN,E9,33.44,29.92
E10,HEX,Test1,Unkn,243_C_1795,NaN,E10,34.38,31.08
E11,HEX,Test1,Unkn,221_C_1511,NaN,E11,38.16,35.84
E12,HEX,Test1,Unkn,248_C_1835,NaN,E12,33.7,30.18
E16,HEX,Test1,Std-13,gblock+IRE_plus18IRE,10,E16,21.54,16.66
E17,HEX,Test1,Std-13,gblock+IRE_plus18IRE,10,E17,21.59,16.63
E18,HEX,Test1,Std-13,gblock+IRE_plus18IRE,10,E18,21.68,16.58
E19,HEX,all_products,Std-14,gblock+IRE_plus18IRE,10,E19,22.96,17.74
E20,HEX,all_products,Std-14,gblock+IRE_plus18IRE,10,E20,23.15,17.8
E21,HEX,all_products,Std-14,gblock+IRE_plus18IRE,10,E21,23.12,17.66
E22,HEX,all_products,Std-15,gblock_minusIRE_onlyExonnoIRE,10,E22,22.19,16.83
E23,HEX,all_products,Std-15,gblock_minusIRE_onlyExonnoIRE,10,E23,22.32,16.82
E24,HEX,all_products,Std-15,gblock_minusIRE_onlyExonnoIRE,10,E24,22.07,16.52
F01,HEX,all_products,Unkn,10_C_67,NaN,F1,38.37,36
F02,HEX,all_products,Unkn,30_C_187,NaN,F2,38.4,36.3
F03,HEX,all_products,Unkn,46_C_283,NaN,F3,39.11,36.94
F04,HEX,all_products,Unkn,233_C_1655,NaN,F4,40,1.16
F05,HEX,all_products,Unkn,162_C_943,NaN,F5,38.17,35.69
F06,HEX,all_products,Unkn,170_C_991,NaN,F6,38.91,36.38
F07,HEX,all_products,Unkn,206_C_1331,NaN,F7,40,40
F08,HEX,all_products,Unkn,212_C_1403,NaN,F8,40,38.89
F09,HEX,all_products,Unkn,231_C_1631,NaN,F9,39.94,37.41
F10,HEX,all_products,Unkn,243_C_1795,NaN,F10,40,38.95
F11,HEX,all_products,Unkn,221_C_1511,NaN,F11,40,1
F12,HEX,all_products,Unkn,248_C_1835,NaN,F12,39.21,37.03
F16,HEX,Test1,Std-16,gblock+IRE_plus18IRE,0.05,F16,29.22,24.9
F17,HEX,Test1,Std-16,gblock+IRE_plus18IRE,0.05,F17,29.17,24.87
F18,HEX,Test1,Std-16,gblock+IRE_plus18IRE,0.05,F18,29.22,24.93
F19,HEX,all_products,Std-17,gblock+IRE_plus18IRE,0.05,F19,30.88,26.56
F20,HEX,all_products,Std-17,gblock+IRE_plus18IRE,0.05,F20,30.91,26.55
F21,HEX,all_products,Std-17,gblock+IRE_plus18IRE,0.05,F21,30.87,26.61
F22,HEX,all_products,Std-18,gblock_minusIRE_onlyExonnoIRE,0.05,F22,29.35,24.92
F23,HEX,all_products,Std-18,gblock_minusIRE_onlyExonnoIRE,0.05,F23,29.32,24.76
F24,HEX,all_products,Std-18,gblock_minusIRE_onlyExonnoIRE,0.05,F24,29.46,25
G01,HEX,Test1,Unkn,10_D_68,NaN,G1,32.92,29.32
G02,HEX,Test1,Unkn,30_D_188,NaN,G2,34.07,30.84
G03,HEX,Test1,Unkn,46_D_284,NaN,G3,34.76,31.66
G04,HEX,Test1,Unkn,233_D_1656,NaN,G4,33.75,30.22
G05,HEX,Test1,Unkn,162_D_944,NaN,G5,31.87,27.99
G06,HEX,Test1,Unkn,170_D_992,NaN,G6,32.62,28.93
G08,HEX,Test1,Unkn,212_D_1404,NaN,G8,38.78,36.78
G09,HEX,Test1,Unkn,231_D_1632,NaN,G9,34.13,30.78
G10,HEX,Test1,Unkn,243_D_1796,NaN,G10,35.06,32.01
G11,HEX,Test1,Unkn,221_D_1512,NaN,G11,32.74,29.09
G12,HEX,Test1,Unkn,248_D_1836,NaN,G12,33.78,30.44
G16,HEX,Test1,Std-19,gblock+IRE_plus18IRE,5,G16,22.64,17.9
G17,HEX,Test1,Std-19,gblock+IRE_plus18IRE,5,G17,22.8,17.93
G18,HEX,Test1,Std-19,gblock+IRE_plus18IRE,5,G18,22.67,17.82
G19,HEX,all_products,Std-20,gblock+IRE_plus18IRE,5,G19,24.17,19.08
G20,HEX,all_products,Std-20,gblock+IRE_plus18IRE,5,G20,24.17,19.03
G21,HEX,all_products,Std-20,gblock+IRE_plus18IRE,5,G21,24.21,18.99
G22,HEX,all_products,Std-21,gblock_minusIRE_onlyExonnoIRE,5,G22,22.99,17.75
G23,HEX,all_products,Std-21,gblock_minusIRE_onlyExonnoIRE,5,G23,23.04,17.72
G24,HEX,all_products,Std-21,gblock_minusIRE_onlyExonnoIRE,5,G24,22.93,17.55
H01,HEX,all_products,Unkn,10_D_68,NaN,H1,38.4,36.15
H02,HEX,all_products,Unkn,30_D_188,NaN,H2,40,1
H03,HEX,all_products,Unkn,46_D_284,NaN,H3,40,40
H04,HEX,all_products,Unkn,233_D_1656,NaN,H4,40,37.67
H05,HEX,all_products,Unkn,162_D_944,NaN,H5,38.5,35.9
H06,HEX,all_products,Unkn,170_D_992,NaN,H6,39.11,36.66
H08,HEX,all_products,Unkn,212_D_1404,NaN,H8,40,1.24
H09,HEX,all_products,Unkn,231_D_1632,NaN,H9,40,37.92
H10,HEX,all_products,Unkn,243_D_1796,NaN,H10,40,40
H11,HEX,all_products,Unkn,221_D_1512,NaN,H11,38.79,36.28
H12,HEX,all_products,Unkn,248_D_1836,NaN,H12,40,38.01
H16,HEX,Test1,Std-22,gblock+IRE_plus18IRE,0.01,H16,31.32,27.27
H17,HEX,Test1,Std-22,gblock+IRE_plus18IRE,0.01,H17,31.23,27.3
H18,HEX,Test1,Std-22,gblock+IRE_plus18IRE,0.01,H18,31.27,27.29
H19,HEX,all_products,Std-23,gblock+IRE_plus18IRE,0.01,H19,32.84,29.01
H20,HEX,all_products,Std-23,gblock+IRE_plus18IRE,0.01,H20,32.95,29.04
H21,HEX,all_products,Std-23,gblock+IRE_plus18IRE,0.01,H21,32.88,29.08
H22,HEX,all_products,Std-24,gblock_minusIRE_onlyExonnoIRE,0.01,H22,31.47,27.47
H23,HEX,all_products,Std-24,gblock_minusIRE_onlyExonnoIRE,0.01,H23,31.45,27.37
H24,HEX,all_products,Std-24,gblock_minusIRE_onlyExonnoIRE,0.01,H24,31.59,27.53
